SiteName,County,AQI,Pollutant,Status,SO2,CO,CO_8hr,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,PublishTime,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
基隆,基隆市,37,,良好,1.5,0.23,0.2,43.3,16,18,9,7.3,10,2.7,1.2,106,2021/08/25 11:00:00,11,22,1,121.760056,25.129167,1
汐止,新北市,37,,良好,5.3,0.19,0.3,39.6,10,13,8,12,15.6,3.5,1.6,56,2021/08/25 11:00:00,11,26,1,121.6423,25.067131,2
萬里,新北市,26,,良好,2.3,0.19,0.1,47.7,19,19,10,4.1,5.3,1.2,1.4,40,2021/08/25 11:00:00,8,21,0,121.689881,25.179667,3
新店,新北市,27,,良好,1.4,0.34,0.2,50.1,18,23,7,11.7,13.8,2,2,354,2021/08/25 11:00:00,8,19,0,121.537778,24.977222,4
土城,新北市,31,,良好,1.5,0.37,0.4,62.3,19,20,5,11.6,14,2.4,1,329,2021/08/25 11:00:00,9,28,0,121.451861,24.982528,5
板橋,新北市,38,,良好,0.9,0.52,0.4,67.8,19,20,14,17.3,19.3,2,1.5,354,2021/08/25 11:00:00,11,23,0,121.458667,25.012972,6
新莊,新北市,34,,良好,1.6,0.43,0.4,81.7,21,36,12,16.2,18.4,2.1,1.5,239,2021/08/25 11:00:00,10,30,1,121.4325,25.037972,7
菜寮,新北市,30,,良好,1.3,0.4,0.3,57.6,18,8,,11.8,14.6,2.8,1.1,263,2021/08/25 11:00:00,9,15,1,121.481028,25.06895,8
林口,新北市,34,,良好,2,0.16,0.2,39.8,14,21,8,9.7,12.2,2.5,2.1,274,2021/08/25 11:00:00,10,19,1,121.376869,25.077197,9
淡水,新北市,28,,良好,1.8,0.21,0.3,37.4,12,26,9,9.2,10.5,1.3,1.3,320,2021/08/25 11:00:00,8,23,0,121.449239,25.1645,10
士林,臺北市,31,,良好,1.1,0.43,0.3,55.5,16,22,11,18.6,22.2,3.6,1.1,197,2021/08/25 11:00:00,9,21,0,121.515389,25.105417,11
中山,臺北市,35,,良好,,,0.4,43.9,14,27,13,,,,1.7,341,2021/08/25 11:00:00,10,24,1,121.526528,25.062361,12
萬華,臺北市,35,,良好,1.6,0.55,0.3,45.9,17,21,9,21.4,25.9,4.4,1,298,2021/08/25 11:00:00,9,20,0,121.507972,25.046503,13
古亭,臺北市,32,,良好,1.4,0.36,0.2,46.9,17,16,12,14.6,18.2,3.5,1.1,84,2021/08/25 11:00:00,10,21,0,121.529556,25.020608,14
松山,臺北市,43,,良好,4.9,0.28,0.3,40,15,27,14,16.7,21.7,5,1.6,76,2021/08/25 11:00:00,13,28,1,121.578611,25.05,15
大同,臺北市,52,二氧化氮,普通,2.9,0.84,1.1,23.9,8,29,12,33.7,61.9,28.2,-,-,2021/08/25 11:00:00,14,27,1,121.513311,25.0632,16
桃園,桃園市,30,,良好,1.2,0.18,0.2,37.8,11,12,6,6.3,8.2,1.9,,,2021/08/25 11:00:00,9,19,2,121.30872222,24.98677778,17
大園,桃園市,30,,良好,3,0.14,0.2,27.7,12,19,11,5.6,7.3,1.7,3.7,249,2021/08/25 11:00:00,9,17,2,121.201811,25.060344,18
觀音,桃園市,20,,良好,1.2,0.07,0,29.9,15,17,11,3.1,4.5,1.4,4.6,248,2021/08/25 11:00:00,6,13,0,121.082761,25.035503,19
平鎮,桃園市,24,,良好,1.8,0.22,0.2,34.1,13,24,14,13.1,16.7,3.6,1.6,253,2021/08/25 11:00:00,7,18,1,121.203986,24.952786,20
龍潭,桃園市,14,,良好,0.9,0.19,0.1,36.4,14,18,5,6,7.1,1.1,2,278,2021/08/25 11:00:00,3,14,1,121.21635,24.863869,21
湖口,新竹縣,29,,良好,2.6,0.13,0.1,27,13,18,17,4.2,6.7,2.4,4.4,266,2021/08/25 11:00:00,9,15,1,121.038653,24.900142,22
竹東,新竹縣,16,,良好,0.7,0.12,0.1,27.2,12,9,3,2,3,1,1.2,139,2021/08/25 11:00:00,4,16,0,121.088903,24.740644,23
新竹,新竹市,28,,良好,4.8,0.3,0.2,24.1,11,25,15,12.9,17.6,4.7,2.8,251,2021/08/25 11:00:00,8,16,0,120.972075,24.805619,24
